geneid	mean_length	median_length	polya_reads_num	count
PH02Gene11814	63.73	75.1	5	8
PH02Gene32258	143.51	175.04	5	6
PH02Gene32039	92.76	80.56	59	89
PH02Gene50469	69.2	69.2	1	1
PH02Gene19804	147.52	130.0	6	10
PH02Gene15752	83.19	66.9	22	27
PH02Gene12595	59.15	54.33	15	23
PH02Gene13906	112.11	89.74	9	13
PH02Gene18464	84.13	70.65	114	162
PH02Gene17893	104.51	108.86	8	15
PH02Gene26132	172.69	172.69	2	2
PH02Gene15784	90.59	97.24	6	11
PH02Gene44185	69.45	57.04	15	18
PH02Gene45398	67.55	67.55	2	4
PH02Gene37561	78.56	76.69	9	10
PH02Gene38917	68.46	62.02	46	60
PH02Gene14832	82.98	47.17	5	7
PH02Gene39383	88.0	88.0	1	4
PH02Gene00412	124.15	124.15	2	3
PH02Gene29681	73.9	61.13	116	160
PH02Gene16023	107.47	104.98	4	4
PH02Gene44002	110.19	111.84	12	23
PH02Gene27443	65.81	72.96	11	15
PH02Gene37622	115.88	115.78	48	63
PH02Gene26813	91.94	98.08	10	16
PH02Gene34943	126.8	126.8	2	4
PH02Gene33294	68.96	73.15	75	100
PH02Gene49702	197.0	197.0	2	2
PH02Gene36666	77.9	74.72	15	25
PH02Gene30930	69.64	60.33	22	34
PH02Gene17792	111.53	86.0	7	11
PH02Gene11860	62.7	52.0	49	65
PH02Gene44875	98.14	98.14	2	2
PH02Gene48665	77.06	96.24	11	18
PH02Gene28131	289.96	289.96	1	1
PH02Gene21004	122.21	120.38	9	12
PH02Gene33446	129.95	140.88	11	14
PH02Gene36434	98.82	109.24	14	18
PH02Gene28036	223.11	223.11	1	2
PH02Gene32636	205.26	205.26	1	1
PH02Gene13291	96.06	92.77	19	27
PH02Gene02094	42.22	42.22	1	2
PH02Gene02076	39.44	39.44	1	1
PH02Gene04945	141.51	140.85	18	21
PH02Gene15975	67.71	56.21	413	577
PH02Gene18038	80.57	59.64	27	42
PH02Gene21539	68.92	91.5	3	3
PH02Gene24737	73.73	73.74	2	2
PH02Gene07731	83.29	81.3	31	45
PH02Gene04856	83.32	75.09	22	31
PH02Gene24544	152.26	144.7	12	20
PH02Gene26913	97.62	68.86	20	27
PH02Gene29523	45.22	41.56	218	284
PH02Gene09763	92.59	90.94	32	39
PH02Gene37420	4.33	4.33	1	2
PH02Gene23995	62.11	58.39	105	152
PH02Gene16771	74.43	68.4	232	331
PH02Gene41820	36.8	36.8	1	2
PH02Gene38856	150.79	150.79	1	1
PH02Gene11786	61.03	56.65	630	855
PH02Gene16038	96.41	117.3	6	7
PH02Gene19784	133.82	94.78	24	40
PH02Gene24746	112.9	107.69	6	7
PH02Gene06149	182.53	189.04	8	8
PH02Gene48837	84.14	84.28	12	13
PH02Gene17236	64.41	61.89	52	85
PH02Gene34347	125.79	125.79	2	3
PH02Gene42733	82.24	82.24	1	1
PH02Gene12066	119.67	118.92	31	42
PH02Gene15337	84.79	81.5	9	12
PH02Gene07836	89.33	70.93	22	30
PH02Gene19258	95.43	91.48	11	17
PH02Gene06760	114.78	114.78	2	4
PH02Gene44495	86.16	86.16	1	1
PH02Gene44210	218.2	218.2	1	1
PH02Gene28855	87.06	65.03	22	29
PH02Gene24318	102.39	102.56	10	15
PH02Gene34482	104.75	94.96	73	116
PH02Gene15205	52.86	51.35	15	24
PH02Gene04741	74.27	58.33	5	7
PH02Gene28107	108.44	108.44	2	5
PH02Gene45520	169.12	189.84	3	4
PH02Gene32800	69.07	58.2	3	3
PH02Gene46570	112.48	103.51	6	9
PH02Gene07760	119.61	117.38	16	22
PH02Gene51217	55.52	55.52	2	3
PH02Gene17466	53.59	38.5	7	13
PH02Gene09159	153.02	174.27	9	12
PH02Gene33163	74.11	75.34	4	4
PH02Gene16804	75.14	71.0	146	217
PH02Gene32845	98.28	86.78	14	19
PH02Gene21025	97.32	97.32	1	1
